name;value(float);comment
camera_zoom_min;1.0;for standard maps
camera_zoom_max;100;for standard maps
camera_zoom_default;5.0;for standard maps
camera_zoom_speed;0.1;Default 0.1
minimap_zoom_min;0.2;
minimap_zoom_max;1.0;
minimap_zoom_default;1.0;
minimap_zoom_speed;0.03;
minimap_size;0.4;Square, % of screen in vertical res
velocity_max;20;
velocity_min;-7.0;
velocity_delta;2.0;
velocity_loss;0.99;friction
camera_vertical_shift;300;vertical shift to center camera
map_size_x;200000;
map_size_y;4000;
single_round_time;9999;
planebreadth;250;
gridwidth;2;
columns;10;
verses;2;
leftstartpos;80;starting X distance from edge of window
rightstartpos;720;starting X distance from edge of window
aggressiondistance;50;square of position that unit needs to start attacking
